Title	URL	Assignees	Status	Epic	Sprint	Nature	Task Type	Actual (#hours)
User Story : Create Event	https://github.com/The-Software-Enterprise/assos/issues/63	Reza-rgb	Done In Sprint #5	Epic 3	Sprint 5	User Story		
Create Event Page Frontend	https://github.com/The-Software-Enterprise/assos/issues/75	Reza-rgb	Done In Sprint #5	Epic 3	Sprint 5	Sprint Task	Frontend	4
Follow Association Button Backend		alicepotter	Done In Sprint #4	Epic 2	Sprint 4	User Story	Backend	0.3
Update Scrum Board	https://github.com/The-Software-Enterprise/assos/issues/46	Reza-rgb	Done In Sprint #4		Sprint 4	Sprint Task	Scrum Board	
User Authentication			Product Backlog	Epic 1				
Explore Associations			Product Backlog	Epic 2				
Manage Associations			Product Backlog	Epic 3				
Tickets Management			Product Backlog	Epic 4				
Join Association's Life			Product Backlog	Epic 5				
Explore menu cleaning and linking	https://github.com/The-Software-Enterprise/assos/pull/61	Tikipiou	Done In Sprint #4	Epic 2	Sprint 5	Sprint Task	Backend	
List of followed and member association page link		alicepotter	Done In Sprint #4	Epic 2	Sprint 4	User Story	Frontend	
Explore Menu Cleaning and Linking	https://github.com/The-Software-Enterprise/assos/issues/58	Tikipiou	Done In Sprint #4	Epic 3	Sprint 4	User Story	Frontend	12
List of followed associations Backend		alicepotter	Done In Sprint #4	Epic 2	Sprint 4	User Story	Backend	
SetUp Screen Test		alicepotter	Done In Sprint #4		Sprint 4	Sprint Task	Test	0.25
Make someone belong to the Asso	https://github.com/The-Software-Enterprise/assos/issues/50	alicepotter	Done In Sprint #4	Epic 2	Sprint 4	Sprint Task	Backend	
Link the buttons of the Manage Association Page	https://github.com/The-Software-Enterprise/assos/issues/56	alicepotter	Done In Sprint #4	Epic 3	Sprint 4	Sprint Task	Backend	
User Story: NFC With Tag		JulesHerrscher, Reza-rgb	Sprint Backlog	Epic 4		User Story		
Send Simple Message To Test Tag		JulesHerrscher, Reza-rgb	Sprint Backlog	Epic 4	Sprint 7	Sprint Task	Backend	
User Story: Tickets Tab		alicepotter, MaximilienG1	Sprint Backlog	Epic 4		User Story		
User Story: Display Events		marinPh, Tikipiou	Sprint Backlog	Epic 5		User Story		
Setup The Ticket Page		alicepotter, MaximilienG1	Sprint Backlog	Epic 4	Sprint 7	Sprint Task	Frontend	
User Story: Display News		Julio12344	Sprint Backlog	Epic 5		User Story		
Add fields in the event creation		Tikipiou	Sprint Backlog	Epic 5	Sprint 7	Sprint Task	Backend	
Create the page to show the details of an event		marinPh	Sprint Backlog	Epic 5	Sprint 7	Sprint Task	Frontend	
Staff for an event		marinPh, Tikipiou	Sprint Backlog	Epic 5	Sprint 7	Sprint Task	Frontend	
Setup UI For News Page		Julio12344	Sprint Backlog	Epic 5	Sprint 7	Sprint Task	Frontend	
Design a Particular Ticket Format		JulesHerrscher, Reza-rgb	Sprint Backlog	Epic 4	Sprint 7	Sprint Task	Backend	
Link News Page UI to Database		Julio12344	Sprint Backlog	Epic 4	Sprint 7	Sprint Task	Backend	
Link Tickets Storage to Database		alicepotter, MaximilienG1	Sprint Backlog	Epic 4	Sprint 7	Sprint Task	Backend	
